epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,872.422,0.43991,2.23609,1.05066,0.83042,0.41746,0.53216,0.517,0.22179,1.18389,0.2673,0.000333122,0.000333122,0.000333122
2,1704.32,0.3846,1.67162,1.004,0.75691,0.52236,0.52925,0.51328,0.2869,1.07871,0.28903,0.00065326,0.00065326,0.00065326
3,2330.46,0.36897,1.57114,0.99658,0.77494,0.54536,0.61393,0.60117,0.19421,1.02761,0.2147,0.000960197,0.000960197,0.000960197
4,3198.27,0.34833,1.51071,0.99171,0.6946,0.57612,0.60866,0.59906,0.21019,0.90796,0.20853,0.0009406,0.0009406,0.0009406
5,4069.02,0.32781,1.43787,0.98473,0.73845,0.592,0.66598,0.65162,0.20529,0.87791,0.208,0.0009208,0.0009208,0.0009208
6,4926.32,0.30814,1.39282,0.97667,0.66016,0.68583,0.71051,0.6963,0.13032,0.78308,0.15157,0.000901,0.000901,0.000901
7,5782.04,0.2971,1.34642,0.9746,0.65252,0.64421,0.72539,0.70475,0.20949,0.77667,0.1927,0.0008812,0.0008812,0.0008812
8,6633.46,0.29311,1.34292,0.97322,0.69638,0.67025,0.70387,0.67797,0.23909,0.78114,0.23034,0.0008614,0.0008614,0.0008614
9,7497.9,0.28342,1.30458,0.97036,0.73212,0.69853,0.75527,0.73409,0.18949,0.69733,0.19843,0.0008416,0.0008416,0.0008416
10,8357.54,0.27763,1.28142,0.96847,0.63467,0.70097,0.70897,0.70065,0.18484,0.73034,0.17013,0.0008218,0.0008218,0.0008218
11,9211.47,0.27189,1.26357,0.96585,0.79899,0.66264,0.76115,0.74322,0.19794,0.69304,0.17817,0.000802,0.000802,0.000802
12,10074.3,0.26576,1.24816,0.96367,0.71385,0.64827,0.7394,0.73365,0.14768,0.89416,0.14597,0.0007822,0.0007822,0.0007822
13,10935.8,0.26217,1.23209,0.96133,0.72628,0.7509,0.77194,0.75431,0.1247,0.64925,0.13128,0.0007624,0.0007624,0.0007624
14,11803.3,0.2574,1.21343,0.95981,0.66964,0.66181,0.73772,0.72395,0.18254,0.77369,0.17481,0.0007426,0.0007426,0.0007426
15,12605.9,0.25361,1.1915,0.95966,0.78207,0.6643,0.76878,0.7626,0.14397,0.77351,0.15442,0.0007228,0.0007228,0.0007228
