epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4512,0.68307,2.45776,1.01588,0.00889,1,0.88523,0.70984,0.48821,2.43704,0.85445,0.0002,0.0002,0.0002
2,101.664,0.59277,1.76184,0.94865,0.00889,1,0.86782,0.6639,0.79161,2.29022,1.10386,0.000411684,0.000411684,0.000411684
3,124.399,0.67133,1.2851,0.98423,1,0.24087,0.86467,0.68011,0.81569,2.17032,0.97473,0.000614656,0.000614656,0.000614656
4,147.549,0.67725,0.94365,1.00153,0.94759,0.8125,0.95664,0.69102,0.96637,1.64613,1.15523,0.000808916,0.000808916,0.000808916
5,170.179,0.69341,0.86485,0.98532,0.90974,0.9375,0.91873,0.5942,0.97327,1.30077,1.32838,0.000994464,0.000994464,0.000994464
6,193.248,0.65914,0.79625,0.96194,0.72026,0.91194,0.84337,0.62472,0.95061,1.49512,1.14112,0.0011713,0.0011713,0.0011713
7,208.04,0.68582,0.76992,0.96729,0.85172,0.77083,0.88888,0.67027,0.99025,1.40546,1.18782,0.00133942,0.00133942,0.00133942
8,220.91,0.67601,0.74118,0.97327,0.82177,0.86461,0.92793,0.71965,0.8126,1.18891,0.99854,0.00149884,0.00149884,0.00149884
9,242.374,0.66744,0.73272,0.95385,0.81027,0.97872,0.93877,0.67601,0.82136,1.1489,1.01148,0.00164954,0.00164954,0.00164954
10,255.906,0.67217,0.69735,0.97352,0.94012,1,0.98266,0.74611,0.79971,0.96774,1.02037,0.0016436,0.0016436,0.0016436
11,268.535,0.64508,0.67033,0.95871,0.90468,0.98879,0.95616,0.72623,0.78662,0.92598,1.01504,0.001604,0.001604,0.001604
12,291.429,0.64999,0.66168,0.95457,0.95514,0.88719,0.97299,0.73922,0.84668,0.91098,1.04466,0.0015644,0.0015644,0.0015644
