epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.766,0.39516,2.63706,1.07645,0.70326,0.47255,0.4362,0.41229,0.28789,1.59767,0.44412,0.00333122,0.00333122,0.00333122
2,752.507,0.39093,1.93243,1.0434,0.86802,0.50139,0.62642,0.58663,0.38997,1.02592,0.54158,0.00659858,0.00659858,0.00659858
3,1120.49,0.44412,1.79606,1.05855,0.83417,0.51512,0.59864,0.54816,0.49631,1.11806,0.63748,0.00979993,0.00979993,0.00979993
4,1487.19,0.44491,1.71552,1.05876,0.81433,0.44274,0.58689,0.54698,0.37149,1.28978,0.60295,0.009703,0.009703,0.009703
5,1853.06,0.40417,1.60542,1.04351,0.71967,0.55045,0.63168,0.61411,0.23102,1.0743,0.36074,0.009604,0.009604,0.009604
6,2220.53,0.37101,1.5342,1.02886,0.67304,0.60555,0.68339,0.67654,0.26108,0.82637,0.37238,0.009505,0.009505,0.009505
7,2586.4,0.35212,1.48165,1.02081,0.75158,0.63152,0.74778,0.73822,0.28627,0.76947,0.43303,0.009406,0.009406,0.009406
8,2953.35,0.33202,1.43145,1.01186,0.61662,0.70853,0.67284,0.64759,0.26435,0.76476,0.37286,0.009307,0.009307,0.009307
9,3320.06,0.32085,1.40898,1.00695,0.63827,0.66002,0.72117,0.65273,0.34805,0.82645,0.46518,0.009208,0.009208,0.009208
10,3686.77,0.31542,1.38255,1.00829,0.75035,0.63633,0.70652,0.68221,0.26055,0.86766,0.34425,0.009109,0.009109,0.009109
11,4052.38,0.30816,1.36899,1.00412,0.80197,0.60153,0.71371,0.68292,0.27636,0.83344,0.41384,0.00901,0.00901,0.00901
12,4420.31,0.30481,1.35339,1.00336,0.79175,0.66167,0.75021,0.74388,0.19222,0.62351,0.3059,0.008911,0.008911,0.008911
13,4787.09,0.28993,1.32244,0.99494,0.62386,0.76213,0.75722,0.75355,0.2175,0.68133,0.32143,0.008812,0.008812,0.008812
14,5153.87,0.29107,1.31769,0.99897,0.84956,0.608,0.7676,0.75887,0.25504,0.73651,0.35572,0.008713,0.008713,0.008713
15,5521.46,0.27753,1.28979,0.98917,0.74673,0.74032,0.80385,0.79911,0.21676,0.6548,0.32917,0.008614,0.008614,0.008614
16,5888.22,0.27724,1.26553,0.98823,0.67528,0.76049,0.78465,0.76944,0.28443,0.65604,0.42021,0.008515,0.008515,0.008515
17,6255.62,0.27056,1.25327,0.98773,0.72062,0.73845,0.78774,0.73376,0.34153,0.81426,0.41698,0.008416,0.008416,0.008416
18,6622.43,0.2679,1.24382,0.98837,0.69659,0.77546,0.79106,0.78514,0.21505,0.63428,0.30942,0.008317,0.008317,0.008317
19,6990.62,0.26365,1.23247,0.98866,0.79055,0.71953,0.80732,0.79384,0.25246,0.67104,0.3416,0.008218,0.008218,0.008218
20,7357.98,0.26704,1.23181,0.98875,0.78825,0.66893,0.81409,0.75474,0.34863,0.71918,0.47772,0.008119,0.008119,0.008119
21,7725.68,0.26155,1.22014,0.98654,0.71733,0.74886,0.80895,0.78535,0.26718,0.69308,0.37519,0.00802,0.00802,0.00802
22,8092.38,0.26421,1.22034,0.98757,0.80834,0.67907,0.79002,0.76699,0.23789,0.70787,0.32578,0.007921,0.007921,0.007921
23,8459.62,0.25626,1.19714,0.98475,0.74288,0.73103,0.79371,0.78227,0.20836,0.68603,0.30607,0.007822,0.007822,0.007822
24,8827.83,0.24986,1.17675,0.97935,0.83936,0.727,0.80963,0.8005,0.25429,0.68279,0.34502,0.007723,0.007723,0.007723
25,9194.24,0.25291,1.18416,0.98128,0.7759,0.78517,0.84433,0.84116,0.20832,0.61222,0.32374,0.007624,0.007624,0.007624
26,9561.02,inf,1.18296,0.9778,0.78498,0.76503,0.85395,0.841,0.26058,0.59905,0.36911,0.007525,0.007525,0.007525
27,9928.4,0.24979,1.16659,0.98044,0.78125,0.73278,0.83169,0.80234,0.28694,0.66773,0.37291,0.007426,0.007426,0.007426
28,10295.4,0.24647,1.15623,0.97987,0.81034,0.74109,0.8289,0.82115,0.29917,0.69637,0.38939,0.007327,0.007327,0.007327
29,10661.4,0.23986,1.15151,0.97565,0.75957,0.79169,0.85071,0.83396,0.27848,0.62744,0.39208,0.007228,0.007228,0.007228
30,11027.2,0.23988,1.149,0.9757,0.78486,0.76698,0.84227,0.82538,0.263,0.58399,0.37471,0.007129,0.007129,0.007129
31,11393.1,0.24003,1.14848,0.97641,0.75775,0.81943,0.85672,0.85301,0.15159,0.55002,0.23976,0.00703,0.00703,0.00703
32,11759.2,0.23822,1.129,0.97545,0.784,0.80505,0.85931,0.85049,0.19877,0.56728,0.27403,0.006931,0.006931,0.006931
33,12125.6,0.23565,1.12282,0.97298,0.75967,0.79321,0.84818,0.82348,0.24941,0.64514,0.36402,0.006832,0.006832,0.006832
34,12492.7,0.23466,1.12047,0.97542,0.72275,0.78671,0.83033,0.80359,0.27902,0.64711,0.37128,0.006733,0.006733,0.006733
35,12859.1,0.23245,1.0991,0.97414,0.78381,0.77646,0.85378,0.8274,0.27392,0.58813,0.37331,0.006634,0.006634,0.006634
36,13225.6,0.22904,1.10041,0.97308,0.81532,0.76829,0.86345,0.84731,0.23369,0.58785,0.35355,0.006535,0.006535,0.006535
37,13591.4,0.23692,1.11881,0.97466,0.81478,0.80743,0.87171,0.8658,0.21321,0.53513,0.31798,0.006436,0.006436,0.006436
38,13958.1,inf,1.10741,0.97763,0.80617,0.7771,0.8588,0.84624,0.24044,0.56364,0.34017,0.006337,0.006337,0.006337
39,14324.2,0.22335,1.0955,0.96891,0.77877,0.82057,0.86607,0.86295,0.17652,0.47911,0.27291,0.006238,0.006238,0.006238
40,14690.4,0.22634,1.0784,0.97013,0.75262,0.82442,0.85706,0.83347,0.25247,0.56088,0.35885,0.006139,0.006139,0.006139
41,15056.6,0.22444,1.08943,0.97013,0.76667,0.82204,0.87655,0.86792,0.23458,0.57497,0.34775,0.00604,0.00604,0.00604
42,15422.9,0.22409,1.07462,0.9714,0.79583,0.82583,0.89107,0.88037,0.26265,0.57024,0.37679,0.005941,0.005941,0.005941
43,15789,0.22312,1.06831,0.96862,0.75112,0.81387,0.86883,0.84144,0.29825,0.59773,0.42339,0.005842,0.005842,0.005842
44,16154.8,0.22381,1.06275,0.97086,0.75313,0.83697,0.87731,0.86316,0.27538,0.59795,0.40628,0.005743,0.005743,0.005743
45,16520.6,0.22154,1.06018,0.9694,0.82983,0.81233,0.88297,0.85792,0.24685,0.5524,0.36406,0.005644,0.005644,0.005644
46,16887.4,0.21942,1.06109,0.96846,0.75377,0.84267,0.87273,0.84509,0.2802,0.60063,0.39314,0.005545,0.005545,0.005545
47,17254.3,0.21892,1.05619,0.96787,0.85048,0.76549,0.87423,0.85472,0.22875,0.57631,0.34294,0.005446,0.005446,0.005446
48,17621.9,0.21846,1.04618,0.96851,0.74279,0.8613,0.86715,0.8551,0.22841,0.55174,0.33202,0.005347,0.005347,0.005347
49,17988.6,0.21925,1.04665,0.96766,0.78474,0.84652,0.86668,0.85126,0.21682,0.5231,0.31821,0.005248,0.005248,0.005248
50,18354.6,0.21313,1.04458,0.96647,0.79655,0.85532,0.8798,0.87353,0.21977,0.51341,0.31723,0.005149,0.005149,0.005149
51,18720.4,0.20973,1.02802,0.96373,0.77901,0.859,0.8808,0.87377,0.1876,0.48469,0.2762,0.00505,0.00505,0.00505
52,19086.3,0.20858,1.01992,0.96245,0.82186,0.84645,0.88952,0.87667,0.21214,0.52448,0.30663,0.004951,0.004951,0.004951
53,19453.1,0.20897,1.01929,0.96431,0.78405,0.85078,0.886,0.86705,0.23656,0.55809,0.32443,0.004852,0.004852,0.004852
