epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3163.43,1.35148,2.9979,1.67732,0.19068,0.25643,0.14227,0.07782,1.53005,3.9522,1.87021,0.000368586,0.000368586,0.000368586
2,4766.05,1.33435,2.33834,1.67382,0.32999,0.32658,0.25882,0.13472,1.65417,2.61293,1.993,0.000731605,0.000731605,0.000731605
3,6688.9,1.32606,2.15257,1.66433,0.29878,0.27785,0.22846,0.12893,1.58257,2.59194,1.9384,0.00108729,0.00108729,0.00108729
4,9483.05,1.30433,2.0284,1.64738,0.39914,0.34245,0.30059,0.17848,1.49767,2.26629,1.90176,0.001078,0.001078,0.001078
5,11975.7,1.26932,1.92017,1.61761,0.43979,0.38917,0.34902,0.2127,1.45527,2.1429,1.83174,0.001067,0.001067,0.001067
6,15622.3,1.23818,1.83315,1.59229,0.46208,0.39346,0.37538,0.23283,1.40883,1.9328,1.76687,0.00105601,0.00105601,0.00105601
7,17145.8,1.2075,1.76658,1.58177,0.45067,0.38254,0.35692,0.21942,1.40819,1.89983,1.79975,0.00104501,0.00104501,0.00104501
8,18956.6,1.17965,1.68816,1.55188,0.47626,0.45403,0.41395,0.26276,1.3109,1.73221,1.67621,0.00103401,0.00103401,0.00103401
9,20805,1.17497,1.67237,1.54905,0.51985,0.41481,0.40094,0.26402,1.29589,1.95809,1.64071,0.00102301,0.00102301,0.00102301
10,23409.6,1.15288,1.61736,1.52918,0.50293,0.4143,0.41527,0.27591,1.32136,1.75478,1.69135,0.00101201,0.00101201,0.00101201
11,24913.2,1.12874,1.57523,1.50554,0.52282,0.47443,0.46727,0.30501,1.28622,1.57593,1.63882,0.00100101,0.00100101,0.00100101
12,26457.9,1.12914,1.54216,1.51142,0.51391,0.46534,0.4473,0.29811,1.27264,1.62218,1.62086,0.000990012,0.000990012,0.000990012
13,27752.7,1.10476,1.52314,1.48423,0.53715,0.48824,0.47358,0.31625,1.2325,1.56476,1.58648,0.000979013,0.000979013,0.000979013
14,29502,1.09117,1.49271,1.47644,0.52564,0.49312,0.47305,0.31596,1.22473,1.55651,1.57209,0.000968014,0.000968014,0.000968014
15,31671.9,1.08724,1.46548,1.46775,0.55803,0.4826,0.48766,0.33116,1.21433,1.51442,1.56981,0.000957015,0.000957015,0.000957015
16,35273,1.07607,1.45931,1.45966,0.50828,0.5245,0.48931,0.32697,1.20488,1.47637,1.55321,0.000946016,0.000946016,0.000946016
17,36523.8,1.07669,1.45801,1.47246,0.56543,0.47952,0.48017,0.33231,1.18849,1.51038,1.54349,0.000935018,0.000935018,0.000935018
18,38739.7,1.05835,1.42959,1.44691,0.54261,0.50695,0.48635,0.33059,1.17299,1.47431,1.51594,0.000924019,0.000924019,0.000924019
19,40141.1,1.05921,1.41351,1.4494,0.57186,0.50548,0.51128,0.35012,1.18785,1.42611,1.53843,0.00091302,0.00091302,0.00091302
20,41458.7,1.05706,1.4044,1.45071,0.54103,0.48871,0.49833,0.34258,1.17007,1.45186,1.52935,0.000902021,0.000902021,0.000902021
