epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6277,0.57004,0.49698,0.97762,1,0.99716,0.995,0.86052,0.70196,0.51256,0.95773,0.000651515,0.000651515,0.000651515
2,72.7978,0.61362,0.53644,0.97754,0.95782,0.94632,0.96726,0.79777,0.70577,0.67148,1.02449,0.00130513,0.00130513,0.00130513
3,108.842,0.68641,0.58737,1.02904,0.93227,0.97917,0.98215,0.80668,0.69622,0.62099,1.04317,0.00194555,0.00194555,0.00194555
4,144.913,0.673,0.5892,1.02939,0.66265,0.72917,0.79053,0.58004,1.06481,1.12119,1.25569,0.0019406,0.0019406,0.0019406
5,180.988,0.67786,0.56038,1.00763,0.97398,0.97917,0.99341,0.81225,0.62739,0.55303,1.0085,0.0019208,0.0019208,0.0019208
6,217.046,0.64142,0.54245,0.99188,0.97568,0.95833,0.98522,0.81784,0.7884,0.66646,1.04479,0.001901,0.001901,0.001901
7,253.07,0.65508,0.55742,1.01654,0.97454,1,0.99459,0.78998,0.80318,0.62826,1.18257,0.0018812,0.0018812,0.0018812
8,289.142,0.65986,0.53898,0.99103,1,0.99945,0.995,0.80616,0.7749,0.58509,1.11415,0.0018614,0.0018614,0.0018614
9,325.629,0.63509,0.51512,0.98015,0.99617,0.97917,0.9942,0.80165,0.73257,0.5427,0.99773,0.0018416,0.0018416,0.0018416
10,361.62,0.66419,0.53444,0.98617,0.93938,0.96864,0.9869,0.79231,0.77395,0.67455,1.08243,0.0018218,0.0018218,0.0018218
11,397.613,0.61744,0.4997,0.9704,0.94781,0.83333,0.94724,0.73564,0.83193,0.81478,1.08752,0.001802,0.001802,0.001802
12,433.606,0.61552,0.4822,0.96065,0.8463,0.5625,0.68039,0.51541,0.99267,1.28378,1.13314,0.0017822,0.0017822,0.0017822
13,469.608,0.61213,0.51418,0.98266,0.9519,0.95833,0.97791,0.79398,0.73124,0.56351,1.01705,0.0017624,0.0017624,0.0017624
14,505.248,0.65078,0.51532,0.99421,0.97941,0.99093,0.99337,0.82331,0.74905,0.56596,1.11382,0.0017426,0.0017426,0.0017426
15,541.142,0.6346,0.47685,0.96249,0.95766,1,0.98364,0.82559,0.69739,0.52193,1.00073,0.0017228,0.0017228,0.0017228
16,576.255,0.62235,0.46189,0.96861,0.81011,0.97767,0.94543,0.78687,0.68535,0.66628,0.96222,0.001703,0.001703,0.001703
