epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.036,1.3798,2.97846,1.70688,0.31066,0.28084,0.23999,0.14285,1.53506,2.65594,1.95078,0.00036946,0.00036946,0.00036946
2,305.52,1.34962,2.40181,1.69748,0.34789,0.33039,0.22422,0.1071,1.78968,2.85822,2.16376,0.000725145,0.000725145,0.000725145
3,454.648,1.31826,2.19979,1.66651,0.35512,0.36614,0.28379,0.16544,1.47625,2.17337,1.83208,0.00106617,0.00106617,0.00106617
4,605.208,1.31354,2.08556,1.66352,0.41516,0.3806,0.33296,0.20635,1.48339,2.04455,1.8597,0.00104501,0.00104501,0.00104501
5,753.868,1.27991,1.97936,1.63444,0.42981,0.3735,0.34553,0.20997,1.41724,1.9733,1.77779,0.00102301,0.00102301,0.00102301
6,902.263,1.24888,1.89151,1.6123,0.48855,0.39463,0.38243,0.23704,1.35073,1.92145,1.71467,0.00100101,0.00100101,0.00100101
7,1050.54,1.22004,1.83918,1.60247,0.50914,0.41095,0.39842,0.2504,1.32128,1.78827,1.6911,0.000979013,0.000979013,0.000979013
8,1199.46,1.18797,1.77177,1.57176,0.49983,0.4315,0.42271,0.26702,1.30594,1.7471,1.66894,0.000957015,0.000957015,0.000957015
9,1348.57,1.18917,1.74963,1.56361,0.49808,0.43457,0.43078,0.27716,1.28915,1.72026,1.66117,0.000935018,0.000935018,0.000935018
10,1496.33,1.15424,1.66336,1.54673,0.51906,0.42126,0.4336,0.2913,1.26473,1.64985,1.64815,0.00091302,0.00091302,0.00091302
11,1644.44,1.14847,1.63958,1.53449,0.51078,0.46085,0.44539,0.29711,1.24892,1.63471,1.60369,0.000891022,0.000891022,0.000891022
12,1793.13,1.12768,1.61208,1.51066,0.53619,0.46217,0.48433,0.31626,1.22982,1.52402,1.58446,0.000869024,0.000869024,0.000869024
13,1943.54,1.12963,1.59759,1.51364,0.54851,0.46344,0.4791,0.32447,1.2142,1.55041,1.58211,0.000847026,0.000847026,0.000847026
14,2092.48,1.11882,1.57031,1.50203,0.50328,0.49151,0.4596,0.31358,1.19011,1.52466,1.55075,0.000825029,0.000825029,0.000825029
15,2240.88,1.09889,1.52585,1.49369,0.50716,0.4946,0.47727,0.32507,1.195,1.48882,1.57494,0.000803031,0.000803031,0.000803031
16,2389.57,1.08894,1.50926,1.49171,0.46254,0.49464,0.45547,0.31186,1.17954,1.53696,1.5516,0.000781033,0.000781033,0.000781033
17,2538.63,1.06756,1.48523,1.47192,0.53833,0.48824,0.50596,0.34067,1.17019,1.45648,1.53374,0.000759035,0.000759035,0.000759035
18,2686.91,1.06221,1.46849,1.46043,0.58786,0.5039,0.52781,0.35806,1.15353,1.40147,1.51603,0.000737037,0.000737037,0.000737037
19,2835.22,1.05221,1.4484,1.45311,0.52619,0.5069,0.49591,0.33504,1.1556,1.45536,1.5111,0.00071504,0.00071504,0.00071504
20,2983.68,1.02793,1.41884,1.44184,0.57508,0.51865,0.5346,0.36583,1.14997,1.3744,1.50581,0.000693042,0.000693042,0.000693042
21,3132.13,1.04352,1.43436,1.44807,0.57357,0.51274,0.51381,0.35045,1.14137,1.4157,1.49804,0.000671044,0.000671044,0.000671044
22,3280.16,1.03589,1.40212,1.44412,0.58401,0.5218,0.54136,0.37532,1.11961,1.36144,1.46929,0.000649046,0.000649046,0.000649046
23,3428.94,1.02097,1.38298,1.4336,0.55946,0.53561,0.53703,0.36479,1.13244,1.37915,1.486,0.000627048,0.000627048,0.000627048
24,3577.92,1.0257,1.38055,1.4216,0.59877,0.54422,0.55996,0.38669,1.10087,1.32464,1.45887,0.000605051,0.000605051,0.000605051
25,3725.94,1.00542,1.35619,1.415,0.54709,0.5386,0.5392,0.37392,1.10269,1.32568,1.46725,0.000583053,0.000583053,0.000583053
26,3874.75,0.99882,1.34852,1.40782,0.57229,0.52294,0.53421,0.36447,1.11604,1.36794,1.46247,0.000561055,0.000561055,0.000561055
27,4023.86,1.00549,1.33358,1.41576,0.59156,0.53698,0.55253,0.38543,1.09891,1.32353,1.46658,0.000539057,0.000539057,0.000539057
28,4172.14,1.00428,1.31888,1.40473,0.56044,0.53068,0.53918,0.37321,1.07501,1.32375,1.4333,0.000517059,0.000517059,0.000517059
29,4321.06,0.98918,1.32084,1.40635,0.60745,0.53215,0.54836,0.38048,1.09443,1.30137,1.46147,0.000495062,0.000495062,0.000495062
